scenario,n_birds,a_floor_m2,a_roof_m2,orientation,layout_rows,layout_cols,n_modules,pv_installed_kWp,module_area_m2,demand_density_kWh_m2_day,E_load_kWh_day,E_source_kWh_day,SF,SF_pct,E_D_kWh_m2_day,PSH_h,CF_pct
micro,2500,202.5,263.25,Portrait,8,6,48,25.92,124.05,4.899,1289.7,1102.1,0.8546,85.46,4.187,4.187,17.4
small,8000,648.0,842.40,Landscape,27,6,162,87.48,418.67,4.083,3439.8,3526.9,1.0253,102.53,4.187,4.187,17.4
large,15000,1215.0,1579.50,Portrait,20,16,320,172.80,827.00,4.083,6449.6,6612.9,1.0253,102.53,4.187,4.187,17.4
